State,Owner,County,Parcel #,Acres,Section,Township,Range,Starting Bid
Arkansas,LARRY M & MARY J  LITTLE TRUSTEES,SALINE,588-00124-000,0,05,01S,18W,125.94
Arkansas,PARMINDER  KAUR,SALINE,580-00014-000,0,17,01S,18W,125.94
Arkansas,PROFESSIONAL  HOUSING & LAND LLC,SALINE,572-00008-000,0,04,01S,18W,110.97
Arkansas,GERARD  JOHNSON & JASON KANE,SALINE,564-00121-000,0,06,01S,18W,125.71
Arkansas,STANLEY & HELEN  MAZUREK,SALINE,564-00029-000,0,06,01S,18W,140.62
Arkansas,RANDALL J & CLARA  JACKSON,SALINE,556-00082-000,0,15,01S,18W,270.98
Arkansas,JIMMY L  WHEATFALL,SALINE,556-00039-000,0,15,01S,18W,270.11
Arkansas,WILLIAM J & PATRICIA R  DRUMM,SALINE,524-00011-000,0,05,01S,18W,125.94
Arkansas,PROFESSIONAL  HOUSING & LAND LLC,SALINE,516-00183-000,0,09,01S,18W,119.07
Arkansas,LEVI C & BETTY M  GANT,SALINE,500-00086-000,0,16,01S,18W,233.28
Arkansas,FLORELLE D  PAGE%DIANE PAGE,SALINE,500-00011-000,0,16,01S,18W,133.28
Arkansas,SALLIE W  LAMPKIN & EVELYN B GILNER,SALINE,476-00084-000,0,06,01S,18W,125.94
Arkansas,ROGER & MILDRED  LANSMAN,SALINE,476-00017-000,0,06,01S,18W,125.94
Arkansas,CLIFF  CHRISTIANSEN,SALINE,468-00010-000,0,15,01S,18W,125.69
Arkansas,JOSEPH  ROSA,SALINE,456-00081-000,0,17,01S,18W,125.94
Arkansas,BILLY MICHAEL & HELEN VIRGINIA  DEVILLE,SALINE,448-00106-000,0,09,01S,18W,133.28
Arkansas,ROBERTA ANN  PALMER TRUSTEE,SALINE,448-00066-000,0,09,01S,18W,133.03
Arkansas,ANTHONEY  HUNT,SALINE,444-00029-000,0,15,01S,18W,322.99
Arkansas,PATTI F & ROBERT M  WILLIAMSON%TRISH AUTREY,SALINE,440-00192-000,0,18,01S,18W,147.96
Arkansas,REGGIE W & MELODY LENORE  NELSON,SALINE,440-00139-000,0,18,01S,18W,125.94
Arkansas,THOMAS A & JACQUELINE W  TUCKER,SALINE,420-00001-006,0,09,01S,18W,166.36
Arkansas,JOHN  CAMPBELL,SALINE,384-00015-000,0,09,01S,18W,125.94
Arkansas,LARRY  CHILDRESS,PERRY,850-00313-001,0,09,04N,17W,617.75
Arkansas,BRENDA  KENNEDY & HUNTER LILES,MONROE,1207-00431-000,0.161,15,1N,3W,2825.69
Arkansas,CROCO  INVESTMENT CORP,MONROE,1131-01808-000,0.17,14,3N,2W,273.33
Arkansas,JOSEPH L & JOY A  HIBBARD & JOE MURP%JOSEPH L & JOY R HIBBARD,PHILLIPS,704-04690-000,0,23,2S,5E,224.02
Arkansas,ROSE MARY  STEWART & ROOSEVELT JR & WILLIW MAE STEWART,PHILLIPS,704-04601-000,0.14,23,2S,5E,350.22
Arkansas,PATRICK  DOHERTY,PHILLIPS,704-04578-000,0.17,23,2S,5E,407.36
Arkansas,MEL A.  HERRERA,PHILLIPS,704-04338-000,0.18,20,2S,5E,175.28
Arkansas,BILL  POWELL,PHILLIPS,704-03822-000,0.11,23,2S,5E,233.64
Arkansas,BILL  POWELL,PHILLIPS,704-03821-000,0.11,23,2S,5E,233.64
Arkansas,BILL  POWELL,PHILLIPS,704-03820-000,0.11,23,2S,5E,233.64
Arkansas,RENARD  LOVE%RENARD M LOVE,PHILLIPS,704-02741-000,0.08,23,2S,5E,303.81
Arkansas,BILL  POWELL,PHILLIPS,704-02336-000,0.05,24,2S,5E,193.79
Arkansas,BILL  POWELL,PHILLIPS,704-02297-000,0.15,23,2S,5E,169.98
Arkansas,ROOSEVELT & WIFE  STEWART%ROOSEVELT & WILLIE MAE STEWART,PHILLIPS,704-02292-000,0.15,23,2S,5E,263.02
Arkansas,ROOSEVELT & WIFE  STEWART%ROOSEVELT & WILLIE MAE STEWART,PHILLIPS,704-02291-000,0.15,23,2S,5E,263.02
Arkansas,DEBORAH K  JENKINS,PHILLIPS,704-02204-000,0.2,23,2S,5E,328.6
Arkansas,BILL  POWELL,PHILLIPS,704-01891-000,0.2,23,2S,5E,273.43
Arkansas,WALTER & LYNETTE  MCKINNEY,PHILLIPS,704-01859-000,0,23,2S,5E,235.75
Arkansas,BILL  POWELL,PHILLIPS,704-01750-000,0.2,23,2S,5E,273.43
Arkansas,TYREE  LAWS,PHILLIPS,704-01417-000,0,,,,2545.82
Arkansas,MERINA  SHEPARD%JIMMY SHEPARD,PHILLIPS,704-00765-000,0.06,23,2S,5E,884.63
Arkansas,STEWART E  SWEENEY,PHILLIPS,704-00704-000,0.2,23,2S,5E,581.14
Arkansas,STEWART E  SWEENEY,PHILLIPS,704-00698-000,0.2,23,2S,5E,740.41
Arkansas,JORDAN  TRAIAN,PHILLIPS,704-00452-000,0.33,23,2S,5E,885.3
Arkansas,DONALD & TERESA  WIGGINS%DONALD RAY & TERESA ANN WIGGINS,PHILLIPS,703-04811-000,0.16,01,2S,4E,1173.58
Arkansas,SAM BASHEER  ALAMORI,PHILLIPS,703-04618-000,0.2,01,2S,4E,1166.84
Arkansas,JUSTIN  WARREN,PHILLIPS,703-04600-000,0.16,02,2S,4E,335.87
Arkansas,RODNEY DAVID  PERON,PHILLIPS,703-04451-000,0.16,02,2S,4E,313.45
Arkansas,RODNEY DAVID  PERON,PHILLIPS,703-04450-000,0.16,02,2S,4E,313.45
Arkansas,SENNING  STONE,PHILLIPS,703-04244-000,0.16,02,2S,4E,255.78
Arkansas,JOHN  REID,PHILLIPS,703-04069-000,0.16,02,2S,4E,328.6
Arkansas,J C   DANLEY%JOSEPHINE CURRY,PHILLIPS,703-03732-000,0.16,02,2S,4E,342.45
Arkansas,J C  DANLEY%JOSEPHINE CURRY,PHILLIPS,703-03731-000,0.16,02,2S,4E,343.28
Arkansas,CRAFT  IMPORTING,PHILLIPS,703-02943-000,0.2,01,2S,4E,562.97
Arkansas,ONDRAKO  MONTGOMERY,PHILLIPS,703-02858-000,0.16,01,2S,4E,1255.19
Arkansas,STEVE R  BEARDEN II,PHILLIPS,703-02414-000,0.14,02,2S,4E,328.6
Arkansas,GORDON A  SIDERS,PHILLIPS,703-02214-000,0.07,01,2S,4E,259.95
Arkansas,CURTIS L  ROLFE IV,PHILLIPS,703-01991-000,0.22,01,2S,4E,853.94
Arkansas,DONALD & TERESA  WIGGINS%DONALD RAY & TERESA ANN WIGGINS,PHILLIPS,703-01988-000,0,01,2S,4E,1794.7
Arkansas,LIZZIE & TALONAGE  HUDSON%SHIRLEY FERGUSON,PHILLIPS,703-01647-000,0.17,11,2S,4E,263.32
Arkansas,"PROFESSIONAL  HOUSING & LAND, LLC",PHILLIPS,703-01229-000,0.32,36,1S,4E,685.32
Arkansas,MERINA  SHEPARD%JIMMY SHEPARD,PHILLIPS,703-01017-000,0.21,02,2S,4E,1234.78
Arkansas,MATTHEW   CAMERINO & CASANDRA HONOVICH,PHILLIPS,703-00836-000,0,02,2S,4E,288.14
Arkansas,BILL  POWELL,PHILLIPS,703-00476-000,0,11,2S,4E,233.64
Arkansas,"TODD G & LYNETTE M  SLAUGHTER%PROFESSIONAL HOUSING & LAND, LLC",PHILLIPS,703-00122-000,0.15,01,2S,4E,1218.8
Arkansas,GONZAGA  SERVICES & MANAGEMENT LLC%CINDY RANDALL,PHILLIPS,703-00059-000,0.22,01,2S,4E,1940.03
Arkansas,SARAH  MOON & JOE H EASLEY%SARAH MOON,PHILLIPS,701-00320-000,0.04,25,4S,2E,222.86
Arkansas,TERRY  MCGINISTER JR,PHILLIPS,001-07114-000,0.14,11,2S,4E,420.77
Arkansas,DAVID T  SMITH,LEE,07-00103,0,,,,276.77
Arkansas,PEGGY  ESTER & ETHEL HARRIS,LEE,07-00078,0,,,,291.99
Arkansas,J D  MILLER JR,LEE,01-03861,1.75,22,2N,3E,362.58
Arkansas,TIMMY  JARRETT%JAMES JARRETT,LEE,01-02814-01,1,29,2N,1E,268.02
Arkansas,HERBERT HENRY  JONES IV,CRITTENDEN,244688000000,0.17,29,09N,08W,528.52
Arkansas,PETOBEGO  LLC,CRITTENDEN,244218000000,0,29,09N,08E,533.35
Arkansas,CLAUDIA PATRICIA  AMEZCUA,CRITTENDEN,209512000000,0.19,33,08N,06E,398.12
Arkansas,A M MAUREEN  FORREST%DAVID & ANNIE SHADLE,CRITTENDEN,207143000000,0.17,14,07N,07E,4478.5
Arkansas,OLLIE  HARRISON ET AL%KENNETH M HARRISON,ST FRANCIS,0804-00962-0001,0,21,04N,6E,292.66
Arkansas,OSCAR  ANDERSON%WILLA GREER,ST FRANCIS,0804-00923-0000,0,21,04N,6E,322.19
Arkansas,HELEN  LEE,ST FRANCIS,0804-00816-0006,0.08,15,04N,6E,403.45
Arkansas,AMANDA  BURROWS%CHESTER L BURROWS,ST FRANCIS,0804-00757-0000,0,,,,204.05
Arkansas,JCL  HOLDINGS TRUST,ST FRANCIS,0804-00120-0000,0,,,,336.09
Arkansas,PAMELA E  HINES,ST FRANCIS,0773-00168-0000,0,,,,190.63
Arkansas,LILLIE  SCRUGGS/JOHN CLAYBORN,ST FRANCIS,0700-00552-0000,0,,,,250.78
Arkansas,GEORGE  VARNER%VARNER MARGIE,ST FRANCIS,0001-02715-0001,0.08,15,04N,6E,324.11
Arkansas,CHEAP  HOME FINDERS INC,MISSISSIPPI,305-06795-000,0.16,15,15N,11E,6118.28
Arkansas,JOE  SANCHES,MISSISSIPPI,305-06745-000,0.21,11,15N,11E,3987.56
Arkansas,MOARK  LAND LLC,MISSISSIPPI,305-06641-000,0.16,14,15N,11E,873.25
Arkansas,A31  LAND TRUST%ERIC HERM TRUSTEE,MISSISSIPPI,305-05984-000,0.17,16,15N,11E,10602.11
Arkansas,PETER NTOBOH TUMENTA  FUAMULUH,MISSISSIPPI,305-05725-000,0.17,17,15N,11E,331.22
Arkansas,PETER NTOBOH TUMENTA  FUAMULUH,MISSISSIPPI,305-05706-000,0.24,17,15N,11E,1202.16
Arkansas,JONATHAN W  CLARK,MISSISSIPPI,305-05448-000,0.22,11,15N,11E,6294.11
Arkansas,PAUL E  COPELAND,MISSISSIPPI,305-05353-001,0.08,15,15N,11E,353.45
Arkansas,PAUL E  COPELAND,MISSISSIPPI,305-05350-000,0.13,15,15N,11E,7891.69
Arkansas,ELLIOTT ASHLEY  FLOWERS,MISSISSIPPI,305-05338-000,0.13,15,15N,11E,6493.82
Arkansas,CHEAP  HOME FINDERS INC,MISSISSIPPI,305-05325-000,0.16,15,15N,11E,5890.93
Arkansas,ALSAADI  MOHAMMED MOHAMMED RASHID,MISSISSIPPI,305-05301-000,0.16,15,15N,11E,727.04
Arkansas,JUANA ELENA  VARGAS,MISSISSIPPI,305-05300-000,0.16,15,15N,11E,231.24
Arkansas,PHILLISA  BRAGG,MISSISSIPPI,305-04995-000,0.2,09,15N,11E,1803.03
Arkansas,HAYLEY  JOBE,MISSISSIPPI,305-04756-000,0.16,15,15N,11E,1312.03
Arkansas,LULA  FRAZIER,MISSISSIPPI,305-04653-000,0.16,15,15N,11E,617.23
Arkansas,RICKY D  PHILLIPS SR,MISSISSIPPI,305-04513-000,0.17,16,15,11,4630.13
Arkansas,PROFESSIONAL  HOUSING & LAND LLC,MISSISSIPPI,305-04367-000,0.16,15,15N,11E,857
Arkansas, 800  INVESTMENTS HOLDING LLC,MISSISSIPPI,305-04333-000,0.08,15,15N,11E,260.36
Arkansas,A31  LAND TRUST%ERIC HERM TRUSTEE,MISSISSIPPI,305-03941-000,0.15,15,15N,11E,496.6
Arkansas,LORAINE  LUNSFORD,MISSISSIPPI,305-03852-000,0.17,10,15N,11E,510.79
Arkansas,BERNARD C  MCDOUGAL JR%BERNARD MCDOUGAL JR,MISSISSIPPI,305-03744-000,0.19,16,15N,11E,309.76
Arkansas,WILLIAM  TARGETT,MISSISSIPPI,305-03742-000,0.19,16,15N,11E,317.16
Arkansas,CHEAP   HOME FINDERS INC,MISSISSIPPI,305-03602-000,0.13,16,15N,11E,693.97
Arkansas,FAIRGREEN   FIELDS TRUST,MISSISSIPPI,305-03164-000,0.16,16,15N,11E,6284.45
Arkansas,EZEKIEL  CHERY,MISSISSIPPI,305-02989-000,0.13,16,15N,11E,4148.67
Arkansas,CLAY & MARIE  JONES%TAVIEN DESHAWN MORRIS,MISSISSIPPI,305-02612-000,0.34,10,15N,11E,15776.2
Arkansas,MARY & CAGE ASHANTE  BIDERMAN,MISSISSIPPI,305-02357-000,0.16,17,15N,11E,8367.99
Arkansas,BETTIE  WILLIAMS,MISSISSIPPI,305-01827-000,0.08,16,15N,11E,324.19
Arkansas,C53  LAND TRUST,MISSISSIPPI,305-01771-000,0.17,16,15N,11E,353.45
Arkansas,PAUL E  COPELAND,MISSISSIPPI,305-01757-000,0.15,16,15N,11E,403.57
Arkansas,RICKY D  PHILLIPS SR%FIREPLACE FELLOWSHIP,MISSISSIPPI,305-01675-000,0.21,16,15N,11E,11076.21
Arkansas,DANIEL  BROWNE,MISSISSIPPI,305-01606-000,0.11,16,15N,11E,303.2
Arkansas,FRANCISCO  QUIJAS,MISSISSIPPI,305-01294-000,0.15,16,15N,11E,310.33
Arkansas,CHEAP   HOME FINDERS INC,MISSISSIPPI,305-01274-000,0.15,16,15N,11E,496.6
Arkansas,DOMINICK  PALMIERI,MISSISSIPPI,305-01151-000,0.16,15,15N,11E,310.33
Arkansas,FRANCISCO  QUIJAS,MISSISSIPPI,305-01090-000,0.16,15,15N,11E,4857.61
Arkansas,PAUL E  COPELAND,MISSISSIPPI,305-01089-000,0.16,15,15N,11E,3775.33
Arkansas,KING HENRY  NUNN IV,MISSISSIPPI,305-00969-000,0.16,15,15N,11E,317.67
Arkansas,PROFESSIONAL  HOUSING & LAND LLC,MISSISSIPPI,305-00832-000,0.24,15,15N,11E,8657.18
Arkansas,LEZLIE  SUMMERALL,MISSISSIPPI,305-00807-000,0.32,15,15N,11E,5340.72
Arkansas,SCOTT A   CANNATELLA%DANIEL BROWNE,MISSISSIPPI,305-00714-000,0.16,15,15N,11E,325.01
Arkansas,NUNN  PROPERTIES INC,MISSISSIPPI,305-00681-000,0.16,15,15N,11E,930.41
Arkansas,DR K H  NUNN%HELEN NUNN,MISSISSIPPI,305-00647-000,0.28,15,15N,11E,397.19
Arkansas,EQUITY   PROPERTT PROS LLC,MISSISSIPPI,305-00616-000,0.16,15,15N,11E,389.85
Arkansas,PAUL E  COPELAND,MISSISSIPPI,305-00608-000,0.05,15,15N,11W,281.88
Arkansas,CHARLES  KING,MISSISSIPPI,305-00335-000,0.13,16,15N,11E,479.98
Arkansas,ANTHONY W  COLEMAN%ANTHONY WAYNE COLEMAN,MISSISSIPPI,301-02240-100,0.13,31,13N,11S,848.04
Arkansas,MILDRED  ENGLISH,MISSISSIPPI,301-01434-000,0.15,36,13N,10E,873.49
Arkansas,GREGORY BERNARD  BARNES,MISSISSIPPI,301-00836-000,0.08,36,13N,10E,328.37
Arkansas,ANTHONY  MCLAURIN III%ANTHONY MCLAURIN,MISSISSIPPI,301-00804-000,0.21,36,13N,10E,1092.66
Arkansas,STEPHEN  OZBUN,MISSISSIPPI,157-00423-002,0.13,08,10N,09E,500.62
Arkansas,PETOBEGO  LLC,MISSISSIPPI,109-01418-000,0.1,18,14N,13E,436.49
Arkansas,F R & EMMA LOU  BREWER,POINSETT,222-01284-0000,0.04,35,11N,06E,323.88
Arkansas,ANDERSEN  FAMILY TRUST,IZARD,800-09816-000,0,,,,173.9
Arkansas,JAMES  TANKERSLEY,IZARD,800-06178-000,0,,,,132.64
Arkansas,CONNIE LYNNA  LEWIS,IZARD,800-02298-000,0,,,,181.85
Arkansas,WILMA J  RICHARD REVOCABLE LIVING TRUST %WILMA J RICHARD TRUSTEE,FULTON,705-26046-000,0,,,,274.93
Arkansas,PROFESSIONAL  HOUSING & LAND LLC ,FULTON,690-26027-000,0,36,20N,05W,206.71
Arkansas,PROFESSIONAL  HOUSING & LAND LLC ,FULTON,686-25332-001,0,24,20N,05W,202.7
Arkansas,KAREN J  PANZER %KAREN J & THOMAS B PANZER,FULTON,686-25260-000,0,24,20N,05W,205.89
Arkansas,JAMES  MCHENRY,FULTON,686-25160-000,0,24,20N,05W,201.07
Arkansas,RUBY & CAROLYN  RODGERS,FULTON,415-21935-000,0,03,19N,06W,129.61
Arkansas,HETTIE  SIMPSON %ANNA M SIMPSON %MARK SIMPSON,FULTON,415-21926-000,0,03,19N,06W,129.89
Arkansas,VITH  HOMSOMBATH,FULTON,415-21864-000,0,,,,190.19
Arkansas,DAVID R & CAROLYN M  MCLEMORE,FULTON,415-21759-000,0,10,19N,06W,190.7
Arkansas,MARIO  MELENDRES,FULTON,415-21748-000,0,10,19N,06W,129.89
Arkansas,JENNIFER L  DAVENPORT,FULTON,410-21623-000,0,,,,129.51
Arkansas,RYAN'S  ART PROPERTY PTY LTD,FULTON,405-21535-000,0,,,,175.73
Arkansas,HERBERT  SETZKE,FULTON,405-21512-000,0,,,,129.61
Arkansas,BRUCE A  FAHRNER %KELLY TRAUGHBER,FULTON,405-21497-000,0,,,,129.61
Arkansas,JESSIE  THORNTON %ROBERT SPILLAN,FULTON,405-21409-000,0,,,,129.89
Arkansas,CHEROKEE  VILLAGE SUBURBAN IMPROVEMENT %CVSID-FORECLOSURE,FULTON,405-21394-000,0,,,,129.55
Arkansas,RUTH D  BOWMAN,FULTON,400-21353-000,0,,,,129.89
Arkansas,DANZ  ENTERPRISES LTD CO,FULTON,400-21301-000,0,,,,129.61
Arkansas,BEATRICE  HARDEN,FULTON,400-21191-000,0,,,,129.89
Arkansas,CHEROKEE  VILLAGE SUBURBAN IMPROVEMENT %CVSID-FORECLOSURE,FULTON,400-21161-000,0,,,,129.61
Arkansas,RICHARD  STEVENSON,FULTON,390-20822-000,0,,,,129.89
Arkansas,CHEROKEE  VILLAGE SUBURBAN IMPROVEMENT %CVSID-FORECLOSURE,FULTON,385-20662-000,0,,,,190.7
Arkansas,COREEN J  BLOOMER TRUST %COREEN BLOOMER,FULTON,375-20483-000,0,,,,129.61
Arkansas,ROSE   CUNNINGHAM,FULTON,375-20472-000,0,,,,190.7
Arkansas,HAROLD L & JUDITH  KELLAMS %JUDITH KELLAMS,FULTON,370-20291-000,0,,,,190.7
Arkansas,W N  GERNHEUSER,FULTON,365-20248-000,0,,,,129.89
Arkansas,MILDRED M ROSE  SODA,FULTON,365-20168-000,0,,,,129.89
Arkansas,MARY E  HAYES %DONALD E EWIGLEBEN,FULTON,365-20165-000,0,,,,129.89
Arkansas,CHEROKEE  VLLAGE SUBURBAN IMPROVEMENT %CVSID-FORECLOSURE,FULTON,365-20127-000,0,,,,190.7
Arkansas,GERALD & SUSAN  GOEBEL,FULTON,365-20103-000,0,,,,122.55
Arkansas,RAYMOND  ROEHRENBECK,FULTON,360-19963-000,0,,,,129.89
Arkansas,PATSY S  WARD %HANK WILLSEY,FULTON,360-19917-000,0,,,,122.55
Arkansas,HERBERT THOMAS  JOHNSON,FULTON,355-19841-000,0,,,,129.89
Arkansas,THEODORE C  RESTEL,FULTON,355-19828-000,0,,,,129.89
Arkansas,ROBERT  WARICHAK JR,FULTON,355-19785-000,0,,,,190.7
Arkansas,LAURETTE  AFFINITO,FULTON,355-19753-000,0,,,,129.89
Arkansas,ROY  KERLEY (JR) %ROY KERLEY JR,FULTON,350-19693-000,0,,,,190.7
Arkansas,JAMES M & SHELLY R   TITTEL,FULTON,350-19667-000,0,,,,190.7
Arkansas,JAMES E  COLE %TIMOTHY COLE,FULTON,350-19546-000,0,,,,190.7
Arkansas,FREDRIC & PHYLLIS  MCKEE,FULTON,345-19503-000,0,,,,129.89
Arkansas,GERALD & SUSAN  GOEBEL,FULTON,345-19491-000,0,,,,122.55
Arkansas,CHARLES II & CINDY  PAULEN %CHARLES PAULEN II,FULTON,345-19325-000,0,,,,129.89
Arkansas,CAROL L DAMERELL  GILMORE %CAROL L DAMERELL,FULTON,335-18612-000,0,,,,129.89
Arkansas,JOSEPH J  BERAN,FULTON,325-18400-000,0,,,,163.62
Arkansas,DANIEL R & KAREN J  CHRISTIAN,FULTON,325-18387-000,0,,,,163.62
Arkansas,DANIEL R & KAREN J  CHRISTIAN,FULTON,325-18386-000,0,,,,163.62
Arkansas,MICHAEL  DORUNTS,FULTON,320-18305-000,0,,,,190.7
Arkansas,GERALD & SUSAN  GOEBEL,FULTON,315-18158-000,0,,,,183.36
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT%CVSID-FORECLOSURE,FULTON,315-18047-000,0,,,,182.79
Arkansas,STAR TIMES   PUBLISHING CO,FULTON,315-18038-000,0,,,,190.7
Arkansas,VICTOR H & JANET L  PFAFF REVOCABLE LIVING TRUST%VICTOR H PFAFF,FULTON,310-17953-000,0,,,,129.89
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT%CVSID-FORECLOSURE,FULTON,310-17922-000,0,,,,182.82
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT%CVSID-FORECLOSURE,FULTON,305-17817-000,0,,,,231.02
Arkansas,CHARLES & PEGGY  THOMPSON,FULTON,295-17514-000,0,,,,190.7
Arkansas,CHEROKEE VILLAGE   SUBURBAN IMPROVEMENT DISTRICT #1,FULTON,295-17477-000,0,,,,182.82
Arkansas,JANET  LOCKE,FULTON,295-17450-000,0,,,,190.7
Arkansas,B & J  PROPES%JAN PROPESC/O MICHELLE LIPFORD,FULTON,295-17431-000,0,,,,190.7
Arkansas,LAURETTE  AFFINITO,FULTON,295-17415-000,0,,,,190.7
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT DISTRICT #1,FULTON,295-17413-000,0,,,,183.36
Arkansas,PATRICIA  MARKOVICH,FULTON,290-17228-000,0,,,,129.89
Arkansas,ROBERT J  EMMETT SR%ROBERT J SR & VIRGINA EMMETT,FULTON,290-17153-000,0,,,,129.89
Arkansas,GARRY L  SMITH,FULTON,290-17113-000,0,,,,129.89
Arkansas, DALE E & RUTH E  ADAMS LIVING TRUST%DALE E & RUTH E ADAMS,FULTON,280-16650-000,0,,,,129.89
Arkansas,WOODWORKERS  SHOP INC,FULTON,275-16615-000,0,,,,129.89
Arkansas,RONALD  BESSELMAN,FULTON,275-16590-000,0,,,,129.89
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT%CVSID-FORECLOSURE,FULTON,270-16425-000,0,,,,122.35
Arkansas,JACK H  GRAFT,FULTON,265-16335-000,0,,,,129.89
Arkansas,DANNY W  JONES,FULTON,265-16318-000,0,,,,129.89
Arkansas,JAMES A  TRAPP,FULTON,260-16072-000,0,,,,217.98
Arkansas,KARPIS  MARTINYAN,FULTON,260-16053-000,0,,,,217.24
Arkansas,KARPIS  MARTINYAN,FULTON,260-16051-000,0,,,,217.98
Arkansas,GERALD & SUSAN  GOEBEL,FULTON,255-15868-000,0,,,,122.55
Arkansas,KARO  BANJARJIAN,FULTON,250-15751-000,0,,,,129.89
Arkansas,H ALLEN & KRISTINE K  SEAMON,FULTON,250-15740-000,0,,,,129.89
Arkansas,ROBERT JAMES   ALWIN,FULTON,250-15710-000,0,,,,129.89
Arkansas,GERALD D  STUTSMAN,FULTON,240-15363-000,0,,,,129.89
Arkansas,PETER ANNA JASON  LINNEY & RICHARD MARTIN%PETER LINNEY ,FULTON,240-15360-000,0,,,,122.55
Arkansas,STEPHEN MARTIN & JANET LOUISE  HOULIHAN%STEPHEN M & JANET L HOULIHAN,FULTON,240-15344-000,0,,,,122.55
Arkansas,STEPHEN MARTIN & JANET LOUISE  HOULIHAN%STEPHEN M & JANET L HOULIHAN,FULTON,240-15343-000,0,,,,122.55
Arkansas,KAREEN  BRITT & PAUL VALLANDIGHAM & PETE%KAREEN BRITT,FULTON,240-15264-000,0,,,,129.89
Arkansas,TERRY L  SCHMIDT,FULTON,240-15169-000,0,,,,190.7
Arkansas,TERRY L  SCHMIDT,FULTON,240-15168-000,0,,,,190.7
Arkansas,TERRY L  SCHMIDT,FULTON,240-15167-000,0,,,,190.7
Arkansas,TERRY L  SCHMIDT,FULTON,240-15165-000,0,,,,190.7
Arkansas,ERIKA C & WALTER  BERNYK,FULTON,235-15105-000,0,,,,129.89
Arkansas, FERNANDO  AMARO,FULTON,235-15062-000,0,,,,122.55
Arkansas,KENNETH C  GRIMES,FULTON,235-14997-000,0,,,,129.89
Arkansas,LARYE   FLYNN,FULTON,230-14923-000,0,,,,190.7
Arkansas,CHARLOTTE P  UDOVICH,FULTON,230-14845-000,0,,,,217.98
Arkansas,CHEROKEE VILLAGE  SUBURBAN IMPROVEMENT%CVSID-FORECLOSURE,FULTON,230-14818-000,0,,,,237.5
Arkansas,RITA A  RUSSELL & JASON S SKAGGS%RITA RUSSELL,FULTON,230-14765-000,0,,,,244.84
Arkansas,SHARON  MATZKE,FULTON,230-14730-000,0,,,,217.98
Arkansas,TRACY & BLILEY JASON  SIMMONS,FULTON,225-14665-000,0,,,,129.89
Arkansas,ARTOUR & DAVID  TEROGANESIAN%ARTOUR TEROGANESIAN,FULTON,225-14583-000,0,,,,129.89
Arkansas,ARTOUR & ALBERT  TEROGANESIAN%ARTOUR TEROGANESIAN,FULTON,225-14555-000,0,,,,129.89
Arkansas,BILLY W   MCELWEE,FULTON,225-14504-000,0,,,,190.7
Arkansas,JANET  LOCKE,FULTON,225-14493-000,0,,,,129.89
Arkansas,JANET  LOCKE,FULTON,225-14492-000,0,,,,129.89
